pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
132.635,-105.585,0.0,top,C1,,,C_0402_1005Metric,1uF,smt
153.2063,-97.2237,90.0,top,C10,,,C_0402_1005Metric,0.1uF,smt
134.690014,-105.719753,-90.0,top,C11,,,C_0402_1005Metric,0.1uF,smt
140.769004,-111.110938,0.0,top,C12,,,C_0402_1005Metric,0.1uF,smt
132.341678,-100.373524,135.0,top,C2,,,C_0402_1005Metric,1uF,smt
144.635,-111.110938,180.0,top,C3,,,C_0402_1005Metric,0.1uF,smt
153.191807,-105.29281,-90.0,top,C4,,,C_0402_1005Metric,0.1uF,smt
142.535,-92.525,0.0,top,C5,,,C_0402_1005Metric,0.1uF,smt
134.835,-101.095,90.0,top,C6,,,C_0402_1005Metric,0.1uF,smt
134.349537,-99.597334,0.0,top,C7,,,C_0402_1005Metric,0.1uF,smt
146.8663,-111.110938,0.0,top,C8,,,C_0402_1005Metric,0.1uF,smt
140.0363,-92.5237,0.0,top,C9,,,C_0402_1005Metric,0.1uF,smt
155.357516,-110.325,-170.0,top,D1,,,D_SOD-523,BAT54XV2T1G,smt
157.1,-101.85,90.0,top,J1,505278-1933,,5052781933,505278-1933,smt
154.155,-108.595,90.0,top,R1,,,R_0402_1005Metric,10k,smt
153.155,-108.595,90.0,top,R2,,,R_0402_1005Metric,10k,smt
136.400669,-94.269738,-150.0,top,R3,,,R_0402_1005Metric,10k,smt
133.045,-103.425,-135.0,top,U1,,,SOT-23,TPS7A0512PDBZR,smt
144.05,-101.75,-90.0,top,U2,XC3S200A-4VQG100C,,QFP50P1600X1600X120-100N,XC3S200A-4VQG100C,smt
134.004134,-96.886698,-90.0,top,U3,AT25SF041B-MAHD-T,,SON50P300X200X60-9N-D,AT25SF041B-MAHD-T,smt
